Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Property Type,Residential Type,Sales Ratio
220008,2022,2023-01-30,Andover,618 ROUTE 6,139020,232000,Residential,Single Family,0.5992241379310345
200243,2020,2021-04-13,Avon,111 NORTHINGTON DRIVE,619290,890000,Residential,Single Family,0.6958314606741574
22043,2022,2023-03-15,Beacon Falls,41 EDGEWOOD DRIVE,164170,285000,Residential,Single Family,0.5760350877192982
220440,2022,2023-02-16,Branford,69 MONTOYA,84300,195000,Residential,Condo,0.4323076923076923
211762,2021,2022-06-21,Bridgeport,38 RIVERVIEW DR,86990,247000,Residential,Condo,0.35218623481781375
200354,2020,2020-12-29,Bristol,391 TIFFANY LA,173740,299000,Residential,Single Family,0.5810702341137124
22000107,2022,2022-12-22,Cheshire,30 CURRIER PL,129150,265000,Residential,Condo,0.48735849056603775
201212,2020,2021-08-23,Bristol,8 JENNINGS TERR,88060,91000,Residential,Single Family,0.9676923076923077
20000179,2020,2021-02-22,Brookfield,72 HOMESTEAD LN,94770,170000,Residential,Condo,0.5574705882352942
200042,2020,2021-05-19,Canaan,93 MAIN ST,355800,599000,Residential,Two Family,0.5939899833055092
2000230,2020,2021-03-16,Cheshire,50 ABBEY CT,210940,365000,Residential,Single Family,0.577917808219178
220054,2022,2022-12-13,Coventry,166 CEDAR SWAMP RD,114500,255000,Residential,Single Family,0.44901960784313727
2000330,2020,2021-05-20,Cheshire,844 HIGHLAND AVE,144220,204000,Residential,Single Family,0.7069607843137254
200078,2020,2021-09-20,Chester,6 SUNSET AVE,250100,418800,Residential,Single Family,0.5971824259789876
200035,2020,2020-10-29,Colchester,160 SHADBUSH DR,223900,392000,Residential,Single Family,0.5711734693877552
200742,2020,2021-03-29,Danbury,17 OHEHYAHTAH PL,339100,550000,Residential,Single Family,0.6165454545454545
200938,2020,2021-05-13,Danbury,15-17 BOUGHTON ST #1-5,118900,230000,Residential,Condo,0.5169565217391304
220261,2022,2023-07-13,East Lyme,2 PEACH LN,465500,827000,Residential,Single Family,0.5628778718258767
201580,2020,2021-09-27,Danbury,25 CROWN ST,192300,525000,Residential,Two Family,0.36628571428571427
200408,2020,2020-12-24,Danbury,15 SCUPPO RD 1503,130800,260000,Residential,Condo,0.5030769230769231
210098,2021,2021-10-20,Danbury,19 GLEN RD,202500,460000,Residential,Single Family,0.44021739130434784
200242,2020,2021-01-27,East Haven,130 COE AVE #51,28240,73000,Residential,Condo,0.3868493150684931
200236,2020,2021-03-18,East Lyme,8 N EDGEWOOD RD,238140,421000,Residential,Single Family,0.5656532066508314
210176,2021,2022-04-19,East Hampton,10 LOWELL RD,153570,270000,Residential,Single Family,0.5687777777777778
200510,2020,2021-09-15,East Lyme,3 CARLISE LN,212100,390500,Residential,Condo,0.5431498079385403
